	Gene	pval	fc
280	PTTG1	0.03	2.65
281	PUS7	0	-3.24
282	RABGGTB	0.05	-1.68
283	RAC2	0	3.09
284	RFC3	0	6.18
285	RNASEH2A	0.03	2.59
286	RNF167	0	-1.77
287	RNPS1	0	-2.28
288	RPL15	0	-1.71
289	RPL22	0.02	-2.29
290	RPL3	0	-1.79
291	RPL32	0	-1.59
292	RPL6	0	2.45
293	RPLP0	0	-2.27
294	RPN1	0	-1.81
295	RPS20	0.01	1.74
296	RPS27L	0.02	1.9
297	RRM1	0.05	2.28
298	RRM2	0	7.43
299	RRM2B	0	3.52
300	RTN4IP1	0.04	-2.03
301	S100A13	0.03	1.65
302	S100A2	0	3.94
303	SAT1	0	1.64
304	SCARA3	0.03	2.33
305	SCCPDH	0	-2.09
306	SCP2	0.05	-2
307	SEC11A	0	-2.27
308	SEL1L	0	-2.68
309	SERPINE2	0.03	2.11
310	SERTAD1	0	3.9
311	SESN1	0.05	2.34
312	SGK2	0	-3.1
313	SHC1	0.02	2.29
314	SHCBP1	0.01	2.93
315	SKA1	0.01	3.07
316	SKP1	0.01	-1.56
317	SLC11A2	0.01	-2.56
318	SLC25A4	0.02	-1.58
319	SLC25A5	0.02	1.66
320	SLC2A2	0.01	-4.2
321	SLCO1B1	0	-18.34
322	SLCO2B1	0	-15.15
323	SMAD5	0	3.09
324	SMIM19	0	-1.98
325	SNHG8	0	-1.62
326	SNRPD3	0.05	1.54
327	SNX13	0	-3.5
328	SPAG5	0	2.92
329	SPANXA2	0	2.1
330	SPC25	0	3
331	ST7	0.01	-2.47
332	STMN1	0	4.43
333	SYTL1	0	3.16
334	TACC3	0.02	2.14
335	TAP1	0.02	2.99
336	TARBP1	0.03	-2.55
337	TCEAL4	0	-3.6
338	TCEAL9	0	2.36
339	TGFBR2	0	-2.76
340	TIGAR	0.03	2.26
341	TIMP1	0	2.81
342	TJP1	0.02	-1.66
343	TK1	0.01	2.69
344	TM9SF3	0.02	-3.14
345	TMED2	0	-1.57
346	TMEM97	0	-1.76
347	TNIP1	0	-4.66
348	TOP2A	0.05	2.15
349	TOR1A	0.05	2.26
350	TP53I3	0	3.77
351	TPM1	0	-6.79
352	TPX2	0	3.14
353	TRIM22	0.02	2.26
354	TSC22D3	0	-2.08
355	TSKU	0	-6.43
356	TST	0	-5.68
357	TTR	0	-2.25
358	TUBG1	0	2.11
359	TXLNA	0.01	1.81
360	TYMS	0	1.66
361	UBB	0	1.62
362	UGDH	0	-2.56
363	UGT1A10	0	-2.45
364	UGT1A6	0	-4.98
365	UGT1A8	0.01	-2.03
366	UQCRFS1	0.05	-1.6
367	VDAC1	0	-1.78
368	VEGFA	0	-2.86
369	VRK1	0.02	2.21
370	WDR3	0.01	-1.78
371	XPC	0.04	2.58
372	YWHAB	0	-2.58
